icd_code,long_title,frequency
4019,Unspecified essential hypertension,26816
I10,Essential (primary) hypertension,21264
R079,"Chest pain, unspecified",13016
78650,"Chest pain, unspecified",12398
25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",12026
R109,Unspecified abdominal pain,10504
E119,Type 2 diabetes mellitus without complications,8801
78909,"Abdominal pain, other specified site",8704
W1830XA,"Fall on same level, unspecified, initial encounter",7817
E8889,Other specified metabolic disorders,7085
E8889,Unspecified fall,7085
R0600,"Dyspnea, unspecified",7080
5990,"Urinary tract infection, site not specified",6877
F10129,"Alcohol abuse with intoxication, unspecified",6871
R51,Headache,6841
2720,Pure hypercholesterolemia,6662
30500,"Alcohol abuse, unspecified",6264
7840,Headache,6053
N390,"Urinary tract infection, site not specified",5898
R531,Weakness,5871
R4182,"Altered mental status, unspecified",5758
R55,Syncope and collapse,5546
R42,Dizziness and giddiness,5504
Z794,Long term (current) use of insulin,5278
M545,Low back pain,5202
78097,Altered mental status,4866
R509,"Fever, unspecified",4824
486,"Pneumonia, organism unspecified",4800
7802,Syncope and collapse,4782
X58XXXA,"Exposure to other specified factors, initial encounter",4746
R45851,Suicidal ideations,4650
F329,"Major depressive disorder, single episode, unspecified",4534
J189,"Pneumonia, unspecified organism",4425
78060,"Fever, unspecified",4369
7295,Pain in limb,4359
R112,"Nausea with vomiting, unspecified",4220
7242,Lumbago,4188
R0789,Other chest pain,3965
V5867,Long-term (current) use of insulin,3954
Z7901,Long term (current) use of anticoagulants,3884
E7800,"Pure hypercholesterolemia, unspecified",3840
311,"Depressive disorder, not elsewhere classified",3769
78079,Other malaise and fatigue,3648
Y9289,Other specified places as the place of occurrence of the external cause,3632
78701,Nausea with vomiting,3616
R197,"Diarrhea, unspecified",3589
42731,Atrial fibrillation,3561
7804,Dizziness and giddiness,3505
I4891,Unspecified atrial fibrillation,3484
V6284,Suicidal ideation,3395
R1013,Epigastric pain,3375
95901,"Head injury, unspecified",3262
78791,Diarrhea,3222
E9289,Unspecified accident,3199
N179,"Acute kidney failure, unspecified",3056
R1031,Right lower quadrant pain,2931
I509,"Heart failure, unspecified",2871
V5861,Long-term (current) use of anticoagulants,2844
4280,"Congestive heart failure, unspecified",2741
R05,Cough,2738
E9179,Other accident caused by striking against or being struck accidentally by objects or persons,2688
K922,"Gastrointestinal hemorrhage, unspecified",2645
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft",2641
78609,Other respiratory abnormalities,2598
7245,"Backache, unspecified",2562
R002,Palpitations,2500
5789,"Hemorrhage of gastrointestinal tract, unspecified",2489
E8120,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,2422
27651,Dehydration,2421
78906,"Abdominal pain, epigastric",2356
D649,"Anemia, unspecified",2308
5849,"Acute kidney failure, unspecified",2297
2859,"Anemia, unspecified",2260
R1032,Left lower quadrant pain,2258
6826,"Cellulitis and abscess of leg, except foot",2216
R1011,Right upper quadrant pain,2189
M542,Cervicalgia,2162
V065,Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT),2158
E8859,"Fall from other slipping, tripping, or stumbling",2149
78605,Shortness of breath,2098
5856,End stage renal disease,2070
8830,"Open wound of finger(s), without mention of complication",1976
7820,Disturbance of skin sensation,1963
S098XXA,"Other specified injuries of head, initial encounter",1958
F419,"Anxiety disorder, unspecified",1953
7862,Cough,1915
R0602,Shortness of breath,1886
78659,Other chest pain,1861
M7989,Other specified soft tissue disorders,1854
W228XXA,"Striking against or struck by other objects, initial encounter",1818
78903,"Abdominal pain, right lower quadrant",1817
G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",1807
E860,Dehydration,1793
J029,"Acute pharyngitis, unspecified",1771
V4352XA,"Car driver injured in collision with other type car in traffic accident, initial encounter",1767
E9208,Accidents caused by other specified cutting and piercing instruments or objects,1767
2449,Unspecified acquired hypothyroidism,1765
E8888,Other fall,1732
30000,"Anxiety state, unspecified",1719
78901,"Abdominal pain, right upper quadrant",1716
78703,Vomiting alone,1706
V08,Asymptomatic human immunodeficiency virus [HIV] infection status,1703
7231,Cervicalgia,1686
Y838,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",1647
E9270,Overexertion from sudden strenuous movement,1634
R200,Anesthesia of skin,1632
R000,"Tachycardia, unspecified",1632
71946,"Pain in joint, lower leg",1607
J45901,Unspecified asthma with (acute) exacerbation,1589
7851,Palpitations,1569
I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,1568
W010XXA,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, initial encounter",1548
78900,"Abdominal pain, unspecified site",1537
49392,"Asthma, unspecified type, with (acute) exacerbation",1536
E780,Pure hypercholesterolemia,1534
72981,Swelling of limb,1515
64893,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication",1494
07999,Unspecified viral infection,1471
78904,"Abdominal pain, left lower quadrant",1444
R1030,"Lower abdominal pain, unspecified",1421
E8809,Accidental fall on or from other stairs or steps,1416
E8809,"Other disorders of plasma-protein metabolism, not elsewhere classified",1416
462,Acute pharyngitis,1412
25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",1389
E785,"Hyperlipidemia, unspecified",1386
A419,"Sepsis, unspecified organism",1377
I639,"Cerebral infarction, unspecified",1374
