visit_day,visits
2110-01-11,5
2110-01-12,4
2110-01-13,5
2110-01-14,2
2110-01-15,8
2110-01-16,6
2110-01-17,3
2110-01-18,4
2110-01-19,4
2110-01-20,6
2110-01-21,3
2110-01-22,3
2110-01-23,3
2110-01-24,4
2110-01-25,2
2110-01-26,5
2110-01-27,3
2110-01-28,4
2110-01-29,1
2110-01-30,5
2110-01-31,6
2110-02-01,3
2110-02-02,5
2110-02-03,3
2110-02-04,4
2110-02-05,9
2110-02-06,6
2110-02-07,4
2110-02-08,6
2110-02-09,5
2110-02-10,6
2110-02-11,4
2110-02-12,3
2110-02-13,7
2110-02-14,3
2110-02-15,7
2110-02-16,5
2110-02-17,1
2110-02-18,5
2110-02-19,3
2110-02-20,3
2110-02-21,2
2110-02-22,5
2110-02-23,2
2110-02-24,10
2110-02-25,3
2110-02-26,9
2110-02-27,5
2110-02-28,2
2110-03-01,6
2110-03-02,6
2110-03-03,4
2110-03-04,3
2110-03-05,6
2110-03-06,5
2110-03-07,2
2110-03-08,2
2110-03-09,5
2110-03-10,3
2110-03-11,3
2110-03-12,4
2110-03-13,5
2110-03-14,7
2110-03-15,5
2110-03-16,7
2110-03-17,8
2110-03-18,5
2110-03-19,3
2110-03-20,10
2110-03-21,8
2110-03-22,1
2110-03-23,5
2110-03-25,3
2110-03-26,6
2110-03-27,5
2110-03-28,4
2110-03-29,5
2110-03-30,7
2110-03-31,5
2110-04-01,6
2110-04-02,7
2110-04-03,7
2110-04-04,3
2110-04-05,1
2110-04-06,4
2110-04-07,5
2110-04-08,5
2110-04-09,5
2110-04-10,3
2110-04-11,4
2110-04-12,4
2110-04-13,6
2110-04-14,5
2110-04-15,2
2110-04-16,10
2110-04-17,6
2110-04-18,4
2110-04-19,7
2110-04-20,3
2110-04-21,3
2110-04-22,6
2110-04-23,1
2110-04-24,5
2110-04-25,4
2110-04-26,10
2110-04-27,8
2110-04-28,4
2110-04-29,7
2110-04-30,6
2110-05-01,8
2110-05-02,4
2110-05-03,4
2110-05-04,6
2110-05-05,3
2110-05-06,10
2110-05-07,6
2110-05-08,4
2110-05-09,7
2110-05-10,6
2110-05-11,6
2110-05-12,7
2110-05-13,8
2110-05-14,3
2110-05-15,9
2110-05-16,5
2110-05-17,3
2110-05-18,6
2110-05-19,3
2110-05-20,6
2110-05-21,4
2110-05-22,6
2110-05-23,8
2110-05-24,7
2110-05-25,4
2110-05-26,5
2110-05-27,5
2110-05-28,5
2110-05-29,6
2110-05-30,5
2110-05-31,5
2110-06-01,7
2110-06-02,5
2110-06-03,7
2110-06-04,8
2110-06-05,2
2110-06-06,6
2110-06-07,4
2110-06-08,5
2110-06-09,4
2110-06-10,6
2110-06-11,1
2110-06-12,4
2110-06-13,1
2110-06-14,6
2110-06-15,6
2110-06-16,3
2110-06-17,7
2110-06-18,7
2110-06-19,4
2110-06-20,9
2110-06-21,8
2110-06-22,10
2110-06-23,7
2110-06-24,2
2110-06-25,6
2110-06-26,8
2110-06-27,6
2110-06-28,1
2110-06-29,2
2110-06-30,7
2110-07-01,9
2110-07-02,4
2110-07-03,5
2110-07-04,4
2110-07-05,5
2110-07-06,4
2110-07-07,2
2110-07-08,5
2110-07-09,10
2110-07-10,7
2110-07-11,4
2110-07-12,5
2110-07-13,4
2110-07-14,2
2110-07-15,7
2110-07-16,3
2110-07-17,9
2110-07-18,4
2110-07-19,10
2110-07-20,2
2110-07-21,4
2110-07-22,3
2110-07-23,8
2110-07-24,2
2110-07-25,5
2110-07-26,5
2110-07-27,3
2110-07-28,5
2110-07-29,8
2110-07-30,3
2110-07-31,6
2110-08-01,6
2110-08-02,11
2110-08-03,8
2110-08-04,6
2110-08-05,6
2110-08-06,6
2110-08-07,10
2110-08-08,3
2110-08-09,1
2110-08-10,5
2110-08-11,4
2110-08-12,6
2110-08-13,2
2110-08-14,5
2110-08-15,5
2110-08-16,3
2110-08-17,2
2110-08-18,3
2110-08-19,5
2110-08-20,8
2110-08-21,7
2110-08-22,4
2110-08-23,7
2110-08-24,3
2110-08-25,5
2110-08-26,2
2110-08-27,9
2110-08-28,3
2110-08-29,4
2110-08-30,7
2110-08-31,3
2110-09-01,9
2110-09-02,4
2110-09-03,5
2110-09-04,6
2110-09-05,5
2110-09-06,7
2110-09-07,3
2110-09-08,5
2110-09-09,2
2110-09-10,6
2110-09-11,6
2110-09-13,5
2110-09-14,8
2110-09-15,8
2110-09-16,6
2110-09-17,3
2110-09-18,9
2110-09-19,2
2110-09-20,2
2110-09-21,6
2110-09-22,5
2110-09-23,3
2110-09-24,3
2110-09-25,7
2110-09-26,8
2110-09-27,2
2110-09-28,4
2110-09-29,5
2110-09-30,7
2110-10-01,4
2110-10-02,10
2110-10-03,5
2110-10-04,8
2110-10-05,6
2110-10-06,2
2110-10-07,4
2110-10-08,3
2110-10-09,2
2110-10-10,9
2110-10-11,4
2110-10-12,4
2110-10-13,6
2110-10-14,4
2110-10-15,5
2110-10-16,5
2110-10-17,3
2110-10-18,4
2110-10-19,7
2110-10-20,7
2110-10-21,4
